TTFW:1.4
SS:2
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,543,393,515,15,4817,107
Mario-2,true,1.00,346,311,311,9,2820,151
Mario-3,true,1.00,2537,314,2522,75,108645,783
Mario-4,true,1.00,13303,451,13273,400,649478,1095
Mario-5,true,1.00,481,446,438,13,6813,195
Mario-6,false,0.41,3163,112,3163,112,191002,950
Mario-7,true,1.00,100,450,68,2,2302,631
Mario-8,true,1.00,54,379,30,1,801,97
Mario-9,true,1.00,74,381,30,1,404,40
Mario-10,true,1.00,2084,317,2063,61,81456,1125
Mario-11,true,1.00,32,395,20,1,724,139
Mario-12,true,1.00,612,579,586,17,13289,1111
Mario-13,true,1.00,33,323,23,1,1260,126
Mario-14,true,1.00,30,381,15,1,487,52
Mario-15,true,1.00,4225,769,4194,128,143300,287
Krys-1,true,1.00,11414,477,11390,352,508978,1348
Krys-2,false,0.79,32526,999,32479,999,1522692,1054
Krys-3,false,0.80,11169,355,11144,355,509783,1347
Krys-4,true,1.00,9303,417,9284,281,417395,1390
Krys-5,true,1.00,61,335,22,1,994,242
Krys-6,false,0.59,32204,999,32170,999,1471575,1456
Krys-7,true,1.00,97,368,75,2,1103,259
Krys-8,true,1.00,78,370,54,2,1788,124
Krys-9,true,1.00,43,335,19,1,675,119
Krys-10,false,0.92,10303,321,10303,321,440468,1544
Krys-11,true,1.00,36,361,26,1,927,233
Krys-12,true,1.00,10908,475,10903,330,488652,1173
Krys-13,true,1.00,5411,353,5408,165,219106,1263
Krys-14,false,0.79,32452,999,32436,999,1424754,1124
Krys-15,false,0.80,9606,297,9606,297,453488,1275
patternCount-1,false,0.93,13439,423,13439,423,689951,840
patternCount-2,true,1.00,37,398,24,1,617,113
patternCount-3,true,1.00,178,422,162,5,5909,155
patternCount-4,true,1.00,25,396,17,1,540,90
patternCount-5,true,1.00,33,421,23,1,839,88
patternCount-6,true,1.00,25,395,16,1,606,52
patternCount-7,true,1.00,24,406,17,1,475,31
patternCount-8,true,1.00,28,381,17,1,682,140
patternCount-9,true,1.00,43,403,30,1,598,35
patternCount-10,true,1.00,20,363,13,1,324,24
patternCount-11,true,1.00,38,448,30,1,1062,144
patternCount-12,true,1.00,77,375,68,2,1801,300
patternCount-13,true,1.00,38,369,28,1,469,30
patternCount-14,true,1.00,45,388,34,1,778,188
patternCount-15,true,1.00,49,430,38,1,571,36
