WS:150.0
SS:8
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Mario-1,true,1.00,5869,1433,5752,1400,211437,930
Mario-2,true,1.00,8575,1337,8476,1321,285023,1074
Mario-3,false,0.15,2880,318,2862,318,111662,1051
Mario-4,false,0.92,14692,2165,14625,2165,562910,1168
Mario-5,false,0.78,9228,1527,9123,1527,324172,1094
Mario-6,false,0.43,5098,761,5035,761,210076,946
Mario-7,false,0.46,6901,1016,6894,1016,256552,746
Mario-8,false,0.56,13135,1476,13078,1476,473339,1199
Mario-9,true,1.00,9037,1232,8922,1200,283826,833
Mario-10,false,0.15,3561,396,3557,396,123197,782
Mario-11,true,1.00,10447,1589,10412,1569,321622,907
Mario-12,true,1.00,9943,1827,9916,1811,295460,869
Mario-13,true,1.00,35616,2731,35604,2695,1255703,1100
Mario-14,true,1.00,1964,817,1956,801,66299,736
Mario-15,false,0.31,10019,1246,9995,1246,297257,873
Krys-1,false,0.75,3943,774,3939,774,110509,813
Krys-2,false,0.72,7762,999,7750,999,223258,756
Krys-3,false,0.54,11654,999,11607,999,318640,652
Krys-4,false,0.82,8088,999,8081,999,224421,784
Krys-5,false,0.63,9122,987,9115,987,287846,912
Krys-6,false,0.28,3750,999,3737,999,109060,591
Krys-7,true,1.00,5018,994,5014,962,144180,691
Krys-8,false,0.66,8703,998,8694,998,248105,842
Krys-9,false,0.54,16448,934,16442,934,437208,661
Krys-10,false,0.82,9550,999,9543,999,282792,803
Krys-11,false,0.77,3376,884,3368,884,92557,879
Krys-12,false,0.70,6681,999,6677,999,163075,548
Krys-13,false,0.62,8143,602,8139,602,207084,686
Krys-14,false,0.70,6124,999,6090,999,176963,769
Krys-15,false,0.53,8083,978,8079,978,226899,758
Krys-16,false,0.63,7877,999,7870,999,217805,688
Krys-17,false,0.85,7929,999,7924,999,221785,666
Krys-18,false,0.35,5693,799,5688,799,153513,814
Krys-19,false,0.11,8050,434,8048,434,228469,774
Krys-20,false,0.69,7280,999,7273,999,205898,699
Krys-21,false,0.71,14144,999,14138,999,399247,964
Krys-22,false,0.81,14727,999,14710,999,401044,736
Krys-23,false,0.80,7284,999,7280,999,197566,637
Krys-24,false,0.70,5430,999,5418,999,147855,782
Krys-25,false,0.18,1503,999,1497,999,45076,850
Krys-26,false,0.62,13033,964,13030,964,364517,685
Krys-27,false,0.62,5636,675,5634,675,134123,577
Krys-28,false,0.42,10034,999,10026,999,268364,699
Krys-29,false,0.44,6233,853,6224,853,186140,768
Krys-30,false,0.46,8015,998,8011,998,213013,676
Krys-31,false,0.81,4362,966,4353,966,134235,792
Krys-32,false,0.92,5276,999,5270,999,148720,592
Krys-33,false,0.88,4638,993,4633,993,130157,592
Krys-34,false,0.85,8182,971,8172,971,236843,749
Krys-35,false,0.62,10695,999,10690,999,285625,758
Krys-36,false,0.42,10603,946,10597,946,324014,911
Krys-37,false,0.43,14379,957,14375,957,423254,890
Krys-38,false,0.43,11180,990,11173,990,322055,760
Krys-39,false,0.21,5093,255,5092,255,135883,542
Krys-40,false,0.60,10119,999,10113,999,306144,1002
Krys-41,false,0.70,11627,999,11622,999,313891,640
Krys-42,false,0.61,12617,999,12614,999,317610,782
Krys-43,false,0.18,19631,999,19617,999,395733,239
Krys-44,false,0.63,15105,925,15100,925,407138,903
Krys-45,true,1.00,5677,883,5673,861,153249,839
Krys-46,false,0.69,6251,971,6245,971,181323,825
Krys-47,false,0.70,8572,988,8568,988,240265,760
Krys-48,false,0.11,8103,434,8100,434,228062,774
Krys-49,false,0.64,14325,999,14323,999,338434,753
Krys-50,false,0.51,11205,994,11196,994,346265,972
Krys-51,false,0.59,8989,999,8985,999,265430,964
Krys-52,false,0.62,3618,916,3611,916,103816,811
Krys-53,false,0.71,7619,999,7614,999,207844,649
Krys-54,false,0.34,4182,414,4181,414,115378,650
Krys-55,false,0.75,8779,977,8774,977,232719,702
Krys-56,false,0.61,4479,875,4472,875,123371,670
Krys-57,false,0.74,7057,996,7045,996,161299,627
Krys-58,false,0.68,9816,994,9785,994,267290,646
Krys-59,false,0.80,6758,999,6749,999,183180,725
Krys-60,false,0.47,5339,485,5334,485,140561,787
Krys-61,false,0.70,7569,999,7562,999,196389,613
Krys-62,false,0.95,4860,999,4852,999,134457,832
Krys-63,false,0.41,2447,464,2445,464,61863,442
Krys-64,false,0.23,7198,437,7197,437,191122,723
Krys-65,false,0.91,6181,999,6178,999,147700,547
Krys-66,false,0.62,3582,928,3573,928,101002,683
Krys-67,false,0.71,5925,999,5916,999,163676,761
Krys-68,false,0.63,9481,714,9480,714,257665,621
Krys-69,false,0.79,4894,890,4892,890,138160,705
Krys-70,false,0.37,6552,999,6549,999,156446,851
Krys-71,false,0.51,11361,999,11354,999,310877,640
Krys-72,false,0.67,6302,999,6294,999,184061,705
Krys-73,false,0.64,7486,993,7482,993,187411,964
Krys-74,false,0.61,2824,999,2815,999,73315,563
Krys-75,false,0.88,3263,999,3256,999,86549,704
Krys-76,false,0.52,13090,980,13085,980,353139,964
Krys-77,false,0.62,11962,999,11956,999,327689,715
Krys-78,false,0.37,12204,999,12199,999,304234,682
Krys-79,true,1.00,8273,973,8265,933,209273,765
Krys-80,true,1.00,4764,959,4757,939,131884,513
Krys-81,false,0.60,10121,999,10113,999,268877,765
Krys-82,false,0.78,7677,772,7671,772,196875,535
Krys-83,false,0.53,14209,973,14204,973,365975,964
Krys-84,true,1.00,4556,996,4554,964,118999,730
Krys-85,false,0.55,5694,851,5684,851,155794,606
Krys-86,false,0.91,8046,999,8040,999,196889,837
Krys-87,false,0.80,7977,999,7972,999,197162,864
Krys-88,false,0.79,6425,976,6405,976,176052,718
Krys-89,false,0.26,3787,405,3785,405,98216,469
Krys-90,false,0.55,10008,784,10005,784,276807,801
Krys-91,false,0.90,5891,983,5886,983,154917,546
Krys-92,false,0.48,12785,999,12781,999,362448,933
Krys-93,false,0.49,13527,999,13525,999,471291,1052
Krys-94,false,0.75,13531,999,13525,999,367431,714
Krys-95,false,0.75,5306,999,5294,999,139076,870
